season,team,offensive_rating,defensive_rating,net_rating,pace,efg_pct,turnover_pct,off_rebound_pct,free_throw_rate,strength_of_schedule_z
2021,Program 01,108.78,109.75,-0.97,66.53,50.71,19.1,28.5,30.73,-0.203
2021,Program 02,99.57,114.04,-14.47,69.27,47.5,19.55,27.87,28.78,-0.619
2021,Program 03,112.56,106.16,6.39,68.57,52.24,17.94,29.36,25.63,-0.085
2021,Program 04,112.2,103.42,8.79,65.17,52.16,17.61,31.96,29.47,1.021
2021,Program 05,98.4,117.18,-18.78,66.97,46.18,21.86,23.6,30.69,-0.874
2021,Program 06,98.84,114.16,-15.33,66.3,47.54,20.6,27.23,35.11,-0.677
2021,Program 07,107.61,107.54,0.06,66.11,51.91,19.84,29.1,34.29,-0.437
2021,Program 08,104.41,109.06,-4.66,67.92,48.07,20.23,27.58,26.55,-0.646
2021,Program 09,111.0,111.11,-0.11,68.69,53.98,19.25,27.22,24.89,0.307
2021,Program 10,102.28,111.87,-9.59,67.53,48.27,21.1,27.63,30.22,-0.923
2021,Program 11,109.6,104.95,4.65,63.19,53.39,18.74,30.68,28.13,-0.158
2021,Program 12,110.64,108.82,1.82,65.99,50.67,19.37,27.59,33.27,0.467
2022,Program 01,110.9,106.35,4.55,70.31,52.2,19.25,31.27,29.62,-0.313
2022,Program 02,104.0,117.33,-13.33,66.17,47.9,20.1,29.54,27.18,-0.947
2022,Program 03,109.74,106.25,3.49,68.84,51.6,18.84,31.43,30.08,0.646
2022,Program 04,113.58,101.4,12.18,63.94,51.75,17.26,29.29,32.65,0.129
2022,Program 05,95.94,120.13,-24.19,68.61,46.7,22.03,28.07,29.22,-1.476
2022,Program 06,98.27,117.53,-19.26,66.93,45.57,21.2,26.8,37.39,-0.151
2022,Program 07,105.23,105.98,-0.74,66.4,49.31,19.75,30.11,28.81,-0.379
2022,Program 08,106.78,106.85,-0.07,65.35,49.37,18.8,28.02,25.83,-0.722
2022,Program 09,108.62,104.41,4.21,71.78,53.4,20.99,27.2,29.3,0.468
2022,Program 10,101.9,111.97,-10.07,71.86,49.43,20.47,26.91,30.28,-1.002
2022,Program 11,111.94,103.64,8.3,65.63,51.88,18.61,31.16,29.77,0.696
2022,Program 12,114.28,101.45,12.83,67.72,52.8,18.13,32.91,34.88,0.723
2023,Program 01,109.33,107.59,1.73,67.59,50.82,20.29,24.48,28.57,0.167
2023,Program 02,98.74,112.75,-14.01,69.0,47.66,22.17,24.35,32.11,-0.902
2023,Program 03,111.76,102.75,9.01,67.65,54.36,18.39,32.64,32.79,0.892
2023,Program 04,114.09,104.7,9.4,70.39,52.55,18.08,28.64,32.83,0.158
2023,Program 05,98.03,121.36,-23.33,69.89,47.11,22.73,27.45,25.67,-1.044
2023,Program 06,96.1,120.75,-24.65,65.32,46.93,20.75,24.62,31.18,-1.544
2023,Program 07,110.0,107.22,2.78,66.71,52.05,16.9,29.49,30.81,0.466
2023,Program 08,104.03,107.26,-3.22,71.75,50.68,18.14,30.64,31.15,0.301
2023,Program 09,107.62,112.54,-4.93,67.19,49.92,19.8,28.5,28.06,-0.222
2023,Program 10,103.16,115.21,-12.05,68.66,47.15,20.24,29.64,28.76,-0.884
2023,Program 11,114.48,102.64,11.84,66.38,54.03,18.78,31.03,30.76,1.594
2023,Program 12,110.48,106.01,4.47,67.28,51.86,18.38,31.57,26.94,-0.007
2024,Program 01,108.47,110.32,-1.86,69.38,49.37,19.27,28.59,31.21,-0.224
2024,Program 02,99.46,115.2,-15.74,69.38,48.39,19.08,24.85,26.25,-1.687
2024,Program 03,113.54,104.02,9.52,66.6,52.73,19.06,31.71,29.68,1.141
2024,Program 04,112.37,101.72,10.64,67.58,51.55,17.23,29.28,32.37,1.422
2024,Program 05,98.68,117.7,-19.02,66.21,46.69,21.24,23.27,31.92,-1.306
2024,Program 06,95.73,116.33,-20.6,66.4,46.95,21.04,26.89,32.01,-0.418
2024,Program 07,101.46,112.16,-10.7,67.26,48.84,20.75,28.4,30.31,-0.144
2024,Program 08,110.39,109.07,1.32,72.32,49.97,20.41,26.78,31.06,-0.138
2024,Program 09,105.9,106.75,-0.85,68.69,48.06,18.49,27.57,29.49,0.769
2024,Program 10,102.45,112.57,-10.11,70.8,48.46,19.79,27.92,32.16,-0.513
2024,Program 11,111.84,101.94,9.9,67.84,55.61,18.12,32.14,29.61,0.939
2024,Program 12,113.74,101.58,12.16,67.53,52.81,17.58,30.57,33.66,0.688
2025,Program 01,109.39,111.65,-2.27,63.05,51.43,18.5,29.51,25.26,0.054
2025,Program 02,101.89,114.87,-12.98,68.67,48.77,20.77,26.29,32.2,0.202
2025,Program 03,109.49,108.11,1.37,66.1,51.82,19.57,28.6,33.49,0.493
2025,Program 04,117.15,101.5,15.66,67.86,52.37,17.43,30.73,26.44,1.041
2025,Program 05,96.38,118.58,-22.2,67.64,43.95,20.73,24.09,30.22,-1.507
2025,Program 06,99.1,116.18,-17.07,66.88,46.27,21.38,27.83,32.06,-0.545
2025,Program 07,107.97,109.58,-1.61,68.35,49.09,19.15,26.26,27.52,-0.606
2025,Program 08,104.79,111.48,-6.69,68.88,47.96,20.81,28.73,29.83,-0.68
2025,Program 09,110.76,104.12,6.64,69.09,51.35,18.95,27.55,30.69,-0.325
2025,Program 10,106.95,110.8,-3.85,71.19,49.53,17.94,25.94,29.88,-0.743
2025,Program 11,114.76,102.05,12.72,67.25,51.18,18.63,31.89,26.32,0.544
2025,Program 12,108.43,103.26,5.17,70.72,50.81,18.42,30.19,31.55,-0.507
