player_id,player,position,from_season,to_season,from_team,to_team,pre_minutes,pre_ppg,pre_usage,pre_ts,pre_ast,pre_tov,pre_reb,pre_player_ortg,source_team_ortg,source_team_drtg,source_team_net,source_sos_z,dest_team_ortg,dest_team_drtg,dest_team_net,dest_sos_z,post_minutes,post_ppg,post_usage,post_ts,post_player_ortg
1,Player 001,SG,2021,2022,Program 01,Program 12,11.79,6.78,16.76,51.59,15.21,18.86,7.19,95.04,108.78,109.75,-0.97,-0.203,114.28,101.45,12.83,0.723,13.31,7.84,18.05,55.29,102.23
3,Player 003,SG,2024,2025,Program 01,Program 11,14.41,8.61,20.04,53.4,12.51,18.27,9.13,102.72,108.47,110.32,-1.86,-0.224,114.76,102.05,12.72,0.544,14.02,8.59,15.8,54.41,102.06
4,Player 004,SF,2024,2025,Program 01,Program 08,24.04,17.55,22.09,54.89,13.54,16.49,14.17,109.92,108.47,110.32,-1.86,-0.224,104.79,111.48,-6.69,-0.68,20.21,15.43,23.96,55.61,108.35
5,Player 005,SF,2024,2025,Program 01,Program 03,22.79,18.67,22.85,55.39,15.19,16.56,9.76,105.0,108.47,110.32,-1.86,-0.224,109.49,108.11,1.37,0.493,18.65,11.15,19.31,58.56,104.47
8,Player 008,PG,2024,2025,Program 02,Program 05,22.9,13.64,18.0,55.95,29.48,16.5,9.24,102.95,99.46,115.2,-15.74,-1.687,96.38,118.58,-22.2,-1.507,23.07,16.07,20.41,56.09,105.33
9,Player 009,PF,2024,2025,Program 02,Program 09,22.7,15.45,18.92,55.26,14.28,13.63,14.13,103.99,99.46,115.2,-15.74,-1.687,110.76,104.12,6.64,-0.325,36.0,25.75,20.7,57.59,108.31
10,Player 010,PF,2022,2023,Program 02,Program 07,4.0,2.51,15.37,50.63,2.0,19.15,16.06,92.43,104.0,117.33,-13.33,-0.947,110.0,107.22,2.78,0.466,18.11,8.98,10.68,50.72,99.22
13,Player 013,C,2021,2022,Program 03,Program 10,29.78,24.98,24.43,61.74,14.65,15.41,20.56,113.58,112.56,106.16,6.39,-0.085,101.9,111.97,-10.07,-1.002,26.76,20.18,22.84,60.28,111.49
14,Player 014,SG,2021,2022,Program 03,Program 11,16.24,9.14,14.57,53.42,12.17,17.58,6.7,99.02,112.56,106.16,6.39,-0.085,111.94,103.64,8.3,0.696,17.95,8.37,16.44,52.5,99.27
14,Player 014,SG,2024,2025,Program 11,Program 06,19.75,11.38,18.55,50.79,17.35,18.34,8.08,101.96,111.84,101.94,9.9,0.939,99.1,116.18,-17.07,-0.545,18.7,10.74,18.05,51.37,99.18
15,Player 015,SF,2023,2024,Program 03,Program 06,18.13,12.95,21.85,61.92,13.63,18.05,10.08,104.71,111.76,102.75,9.01,0.892,95.73,116.33,-20.6,-0.418,21.76,16.25,23.04,55.16,104.62
17,Player 017,SF,2023,2024,Program 03,Program 12,18.09,10.93,17.23,53.17,9.09,16.28,5.43,100.73,111.76,102.75,9.01,0.892,113.74,101.58,12.16,0.688,17.91,11.72,17.42,54.78,102.48
19,Player 019,PF,2023,2024,Program 04,Program 03,14.18,6.58,14.14,52.12,6.24,20.31,14.43,97.02,114.09,104.7,9.4,0.158,113.54,104.02,9.52,1.141,13.17,6.05,10.86,55.81,100.28
20,Player 020,PF,2023,2024,Program 04,Program 06,7.25,2.58,8.19,47.76,8.1,20.53,11.28,89.72,114.09,104.7,9.4,0.158,95.73,116.33,-20.6,-0.418,4.0,1.0,9.43,43.6,84.65
22,Player 022,SG,2023,2024,Program 04,Program 06,24.06,13.34,16.49,53.34,22.62,18.71,5.21,99.98,114.09,104.7,9.4,0.158,95.73,116.33,-20.6,-0.418,10.87,6.18,21.23,51.57,98.17
23,Player 023,PF,2021,2022,Program 04,Program 11,13.64,5.54,13.77,51.3,7.94,20.11,13.49,94.16,112.2,103.42,8.79,1.021,111.94,103.64,8.3,0.696,21.83,13.23,19.09,55.14,104.92
26,Player 026,C,2024,2025,Program 05,Program 04,23.5,18.47,25.61,56.14,9.32,18.23,23.13,107.1,98.68,117.7,-19.02,-1.306,117.15,101.5,15.66,1.041,25.93,20.51,21.89,61.29,111.81
27,Player 027,PF,2021,2022,Program 05,Program 03,11.95,5.23,15.29,50.85,5.11,22.5,8.1,87.95,98.4,117.18,-18.78,-0.874,109.74,106.25,3.49,0.646,9.55,5.77,14.93,49.44,92.74
27,Player 027,PF,2024,2025,Program 03,Program 05,15.82,6.68,10.94,47.26,7.66,21.33,14.71,92.02,113.54,104.02,9.52,1.141,96.38,118.58,-22.2,-1.507,12.29,4.82,15.1,49.38,90.89
